"Guid","AccountId","Application__c","Comments","ContactId","Description","IsEscalated","ParentId","Priority","Reason","Status","Subject","SuppliedCompany","SuppliedName","SuppliedPhone","Type","TypeDetail__c"
00bca22e-9e35-4ffb-87fc-c392c662a5cc,60a5a87b-02c1-473f-8f7c-a1797bbe7f61,"#N/A","#N/A",fd5ddf17-6123-4d0c-bf94-1db3da008111,When I upgraded to the newest version some of my integrations broke,false,"#N/A",High,New problem,Closed,Newest update cause an error,"#N/A","#N/A","#N/A",Problem,"#N/A"
00c0e7a3-f866-4218-8d60-44a381885acc,068f7e69-1422-4e2e-bfb6-d80d9c12ba4a,"#N/A","#N/A",88c95e21-f315-40e3-a620-c50c6afa07d8,Is it possible to make our widgets waterproof?,false,"#N/A",Low,New problem,Escalated,Widgets aren't waterproof,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
0178d577-5531-4840-9a30-568e4b41e396,72cb50de-bae3-41af-8cab-44105f1fc019,"#N/A","#N/A",084435de-f307-4830-bb1e-8fb6fd405f23,User Needs Help,false,"#N/A",Medium,Complex functionality,New,Template output to PDF includes highlighting when shouldn't /   setup,"#N/A","#N/A","#N/A",Problem,"#N/A"
019af2de-c5c4-48f6-b88d-9b5473be0686,9c448add-1908-4793-89ce-f2e98ddf6988,"#N/A","#N/A",6cfd8b94-4e5b-40a6-afb8-b296d32c8eab,I have forgotten my login. Please send me new credentials.,false,"#N/A",Medium,Instructions not clear,Approved,Login credentials,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
01b7519e-3153-42c3-9601-114ed0b690f1,689f1903-cade-427c-994a-f335e7840791,"#N/A","#N/A",e0f12d20-75fe-4045-a7b8-926f4d8377a7,EMEA Case,false,"#N/A",Medium,User didn't attend training,New,Crash in chrome - instructed to clear cache,"#N/A","#N/A","#N/A",Problem,"#N/A"
01d092f3-d0d8-41fd-a71c-2b9f75d0e470,3063e278-f78c-4e62-976e-9d0282d38cbf,"#N/A","#N/A",48ce5423-1985-4ccd-b2be-bdd523da6d9f,My company makes and app. Can we integrate it with your products?,false,"#N/A",Medium,Complex Functionallity,On Hold,Third Party Integrations,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
01ec0328-966e-41c4-8a4a-f656f098888a,50392b06-ee37-49bf-abf8-7d2be1fdbfba,"#N/A","#N/A",f5a114e2-dda5-4378-84d0-a6cb608b8508,I have forgotten my login. Please send me new credentials.,false,"#N/A",Medium,Instructions not clear,New,Login credentials,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
01ff3265-e0f8-4919-a652-07cd1b2d1603,f38abd17-d193-42e8-88c6-54a6a28581d7,"#N/A","#N/A",15794224-d3e9-45f0-bf9d-e96222d48119,Is it possible to make our widgets waterproof?,false,"#N/A",Low,New problem,Pending Approval,Widgets aren't waterproof,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
028870e4-d03c-4300-b706-62164f928017,2ec980da-f689-44ae-956d-0f22c1a200b3,"#N/A","#N/A",3550c6c3-381b-49ff-95d2-9268fccd6425,User Needs Help,false,"#N/A",Medium,User didn't attend training,Rejected,Pricing and subscription questions for non profits,"#N/A","#N/A","#N/A",Question,"#N/A"
028a9f8c-140a-45ea-bacf-05da570d0147,75c0d53e-2305-42f8-960e-5422e74a1756,"#N/A","#N/A",f1b1c6cc-5551-4ccf-b7df-d709d64a5623,After we received your new waterproof widgets we noticed they didn't float. What gives?,false,"#N/A",Low,New problem,Pending Approval,Waterproof Widgets don’t float,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
